id,kamoku_cd,kamoku_full_name,kamoku_ryaku_name,kamoku_kana_name,kamoku_bunrui_cd,description,created_at,updated_at,custom_fields
10,A1,現金,現金,genkin,A,,2021-03-21 00:00:00,2021-03-21 00:00:00,
11,A2,預金,預金,yokin,A,,2021-03-21 00:00:00,2021-03-21 00:00:00,
12,A3,売掛金,売掛,urikakekin,A,,2021-03-21 00:00:00,2021-03-21 00:00:00,
13,A4,貸付金,貸付,kasitukekin,A,,2021-03-21 00:00:00,2021-03-21 00:00:00,
14,A5,前払法人税等,前払法人税,maebara houjinzei,A,源泉徴収された税額など、将来の法人税等から控除される前払い税金,2025-05-18 00:00:00,2025-05-18 00:00:00,
20,B1,未払金,未払,miharaikin,B,主に未払い給与,2021-03-21 00:00:00,2021-03-21 00:00:00,
21,B2,借入金,借入,kariirekin,B,主に建替え経費,2021-03-21 00:00:00,2021-03-21 00:00:00,
22,B3,預り金,預り,azukarikin,B,主に源泉徴収した所得税,2021-03-21 00:00:00,2021-03-21 00:00:00,
23,B4,未払法人税等,未払法人税,miharai houjin zei,B,事業税を除く未払の法人税等,2021-03-21 00:00:00,2021-03-21 00:00:00,
24,B5,未払事業税,未払事業税,miharai jigyou zei,B,未払の事業税,2021-03-21 00:00:00,2021-03-21 00:00:00,
30,C1,資本金,資本,sihonkin,C,,2021-03-21 00:00:00,2021-03-21 00:00:00,
31,C2,繰越利益剰余金,剰余金,kurikosi rieki jyouyokin,C,,2021-03-21 00:00:00,2021-03-21 00:00:00,
40,D1,売上,売上,uriage,D,,2021-03-21 00:00:00,2021-03-21 00:00:00,
41,D2,受取利息,利息,uketori risoku,D,,2021-03-21 00:00:00,2021-03-21 00:00:00,
50,E1,販売費及び一般管理費,販管費,hankanhi,E,事業運営に関わる間接費用全般,2021-03-21 00:00:00,2021-03-21 00:00:00,
51,E2,租税公課,租税公課,sozei kouka,E,法人税等以外の税金費用（固定資産税、自動車税、印紙税など）事業税も含む。※損金算入可,2021-03-21 00:00:00,2021-03-21 00:00:00,
60,F1,法人税等,法人税等,houjinzei,F,法人税および法人住民税,2021-03-21 00:00:00,2021-03-21 00:00:00,
70,G1,当期純利益,当期純利益,touki jyunrieki,G,,2021-03-21 00:00:00,2021-03-21 00:00:00,
71,G2,繰越,繰越,kurikosi,G,残高を翌年に繰り越す際の仕訳に使用する相手方の科目,2021-03-21 00:00:00,2021-03-21 00:00:00,
